rushing_yards,two_point_conversions,activated,fumbles_lost,receiving_touchdowns,name,extra_points_made,targets,opponent,receiving_average,rushing_touchdowns,passing_rating,game_date,season_week,home_or_away,team,passing_attempts,passing_completions,receiving_long,passing_touchdowns,receiving_yards,fumbles,passing_completion_percentage,passing_yards,player_id,week,receptions,played,rushing_attempts,position_category,passing_interceptions,year,rushing_long,rushing_average,field_goals_made,position,passing_yards_line,over_passing_yards,passing_touchdowns_line,over_passing_touchdowns,passing_interceptions_line,over_passing_interceptions,passing_attempts_line,over_passing_attempts,passing_completions_line,over_passing_completions,rushing_yards_line,over_rushing_yards,rushing_touchdowns_line,over_rushing_touchdowns,rushing_attempts_line,over_rushing_attempts,rushing_long_line,over_rushing_long,receiving_yards_line,over_receiving_yards,receiving_touchdowns_line,over_receiving_touchdowns,receptions_line,over_receptions,targets_line,over_targets,receiving_long_line,over_receiving_long,fumbles_line,over_fumbles,fumbles_lost_line,over_fumbles_lost,two_point_conversions_line,over_two_point_conversions
73.2,0.0,1,0.0,0.0,Jonathan Taylor,0,0.0,HOU,0,2.3,0,2024-09-08T13:00:00,2024_week_1,HOME,IND,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21682,1,0.0,1,24.4,OFF,0.0,2024,10.7,7,0,RB,1.5,0,0.5,0,3.5,0,4.0,0,5.0,0,69.0,1,2.5,0,22.5,1,11.0,0,4.5,0,3.0,0,4.0,0,2.0,0,4.5,0,0.0,0,1.0,0,2.0,0
0.0,0.0,1,0.0,0.0,Chris Olave,0,4.6,CAR,12.8,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,NO,0.0,0.0,25.9,0.0,16.8,0.0,0,0.0,22565,1,4.6,1,0.0,OFF,0.0,2024,0.0,0,0,WR,3.5,0,0.5,0,2.0,0,3.0,0,4.0,0,2.0,0,1.0,0,4.5,0,1.5,0,18.5,0,1.0,0,5.0,0,4.5,1,27.0,0,1.5,0,1.5,0,2.0,0
0.0,0.0,1,0.0,0.0,David Njoku,0,11.6,DAL,16.8,0.0,0,2024-09-08T16:25:00,2024_week_1,HOME,CLE,0.0,0.0,44.2,0.0,67.1,0.0,0,0.0,18876,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,TE,4.0,0,5.0,0,4.0,0,4.5,0,4.0,0,0.5,0,3.5,0,1.0,0,4.5,0,72.0,0,3.5,0,8.5,1,11.5,1,40.0,1,1.5,0,2.0,0,2.5,0
0.0,0.0,1,0.0,0.0,Keenan Allen,0,16.8,TEN,11,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,CHI,0.0,0.0,13.7,0.0,44.2,0.0,0,0.0,15076,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,WR,2.5,0,2.0,0,1.5,0,4.5,0,3.5,0,0.0,0,3.5,0,4.0,0,1.0,0,40.0,1,2.5,0,9.5,0,18.0,0,13.5,1,2.5,0,1.0,0,3.0,0
45.7,0.0,1,0.0,0.0,D'Andre Swift,0,2.3,TEN,0,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21684,1,0.0,1,15.2,OFF,0.0,2024,30.5,7,0,RB,4.5,0,0.0,0,2.5,0,3.5,0,2.5,0,42.5,1,4.0,0,15.5,0,33.5,0,4.0,0,4.5,0,0.5,0,2.5,0,5.0,0,4.5,0,0.5,0,4.0,0
70.1,0.0,1,0.0,0.0,Derrick Henry,0,4.6,KC,0,2.3,0,2024-09-05T20:40:00,2024_week_1,AWAY,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17959,1,0.0,1,19.8,OFF,0.0,2024,13.7,8.1,0,RB,0.5,0,1.5,0,3.0,0,3.0,0,0.5,0,74.0,0,2.5,0,20.5,0,15.0,0,2.0,0,4.5,0,4.5,0,4.5,1,2.0,0,0.0,0,1.0,0,2.5,0
126.5,0.0,1,0.0,0.0,Alvin Kamara,0,11.6,CAR,12.5,2.3,0,2024-09-08T13:00:00,2024_week_1,HOME,NO,0.0,0.0,27.4,0.0,41.1,0.0,0,0.0,18878,1,11.6,1,22.9,OFF,0.0,2024,25.9,12.8,0,RB,2.5,0,3.5,0,3.0,0,4.5,0,4.5,0,135.0,0,2.5,0,25.0,0,24.0,1,38.5,1,1.5,0,12.0,0,11.5,1,27.5,0,2.5,0,2.0,0,3.0,0
0.0,0.0,1,0.0,0.0,Sam LaPorta,0,11.6,LAR,17.1,0.0,0,2024-09-08T20:20:00,2024_week_1,HOME,DET,0.0,0.0,27.4,0.0,68.6,0.0,0,0.0,23141,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,TE,2.5,0,3.0,0,1.5,0,2.5,0,4.0,0,0.5,0,1.5,0,0.0,0,1.0,0,75.0,0,5.0,0,9.5,0,11.0,1,25.0,1,1.0,0,4.5,0,0.5,0
38.1,0.0,1,0.0,0.0,CeeDee Lamb,0,15.2,CLE,18.6,0.0,0,2024-09-08T16:25:00,2024_week_1,AWAY,DAL,0.0,0.0,51.8,0.0,93.0,0.0,0,0.0,21679,1,11.6,1,7.0,OFF,0.0,2024,18.3,12.6,0,WR,0.5,0,4.5,0,3.5,0,3.0,0,2.0,0,38.5,0,4.0,0,7.5,0,18.5,0,92.0,1,0.5,0,12.5,0,14.5,1,49.0,1,2.5,0,4.5,0,1.5,0
0.0,0.0,1,0.0,0.0,Kirk Cousins,0,0.0,PIT,0,0.0,89.9,2024-09-08T13:00:00,2024_week_1,HOME,ATL,39.6,24.4,0.0,2.3,0.0,0.0,93.7,236.2,14252,1,0.0,1,2.3,OFF,0.0,2024,0.0,0,0,QB,230.0,1,2.0,1,2.0,0,43.0,0,22.0,1,1.5,0,5.0,0,2.0,1,3.5,0,2.5,0,2.5,0,4.5,0,3.0,0,0.5,0,3.0,0,2.0,0,3.0,0
19.8,0.0,1,0.0,0.0,Derek Carr,0,0.0,CAR,0,0.0,217.1,2024-09-08T13:00:00,2024_week_1,HOME,NO,35.1,29.0,0.0,7.0,0.0,0.0,125.9,304.8,16311,1,0.0,1,4.6,OFF,0.0,2024,12.2,15.1,0,QB,330.0,0,7.5,0,4.5,0,38.5,0,29.0,0,21.0,0,4.0,0,5.0,0,12.0,1,1.0,0,3.5,0,2.5,0,1.5,0,3.0,0,3.0,0,3.5,0,2.5,0
15.2,0.0,1,0.0,0.0,Austin Ekeler,0,9.3,TB,19.8,0.0,0,2024-09-08T16:25:00,2024_week_1,AWAY,WAS,0.0,0.0,33.5,0.0,79.2,0.0,0,0.0,19562,1,9.3,1,4.6,OFF,0.0,2024,13.9,11.6,0,RB,3.5,0,3.0,0,0.0,0,1.5,0,0.5,0,15.5,0,0.5,0,4.5,1,12.5,1,77.5,1,4.0,0,9.5,0,9.0,1,34.5,0,4.0,0,1.0,0,3.5,0
61.0,0.0,1,0.0,0.0,Jahmyr Gibbs,0,13.9,LAR,13,2.3,0,2024-09-08T20:20:00,2024_week_1,HOME,DET,0.0,0.0,21.3,0.0,51.8,0.0,0,0.0,23200,1,9.3,1,16.8,OFF,0.0,2024,12.2,8.4,0,RB,0.5,0,3.5,0,3.0,0,1.5,0,5.0,0,56.5,1,2.5,0,17.5,0,13.5,0,48.0,1,3.0,0,8.5,1,13.0,1,21.0,1,2.5,0,5.0,0,2.0,0
21.3,0.0,1,0.0,0.0,DJ Moore,0,12.2,TEN,11,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,CHI,0.0,0.0,19.8,0.0,54.9,0.0,0,0.0,19844,1,11.6,1,2.3,OFF,0.0,2024,21.3,21.3,0,WR,4.5,0,0.5,0,3.5,0,0.0,0,3.0,0,21.5,0,2.5,0,2.0,1,21.0,1,56.5,0,2.5,0,12.5,0,13.5,0,21.5,0,4.5,0,1.0,0,2.0,0
7.0,0.0,1,0.0,0.0,Dak Prescott,0,0.0,CLE,0,0.0,130,2024-09-08T16:25:00,2024_week_1,AWAY,DAL,48.8,29.0,0.0,2.3,0.0,2.3,90.5,272.8,18055,1,0.0,1,2.3,OFF,0.0,2024,7.0,7,0,QB,278.0,0,2.5,0,4.5,0,47.5,1,31.0,0,7.5,0,1.5,0,2.0,1,7.0,0,4.0,0,3.5,0,4.0,0,1.5,0,3.5,0,2.5,0,1.5,0,1.5,0
0.0,0.0,1,0.0,0.0,Amari Cooper,0,13.7,DAL,12.2,0.0,0,2024-09-08T16:25:00,2024_week_1,HOME,CLE,0.0,0.0,15.2,0.0,24.4,0.0,0,0.0,16765,1,4.6,1,0.0,OFF,0.0,2024,0.0,0,0,WR,1.5,0,0.5,0,4.5,0,3.5,0,5.0,0,1.0,0,4.0,0,0.0,0,2.5,0,24.5,0,4.0,0,4.5,1,13.0,1,15.5,0,2.5,0,1.5,0,1.0,0
-1.5,0.0,1,0.0,0.0,Aaron Rodgers,0,0.0,SF,0,0.0,126.2,2024-09-09T20:15:00,2024_week_1,AWAY,NYJ,32.0,19.8,0.0,2.3,0.0,0.0,94.3,254.5,2593,1,0.0,1,2.3,OFF,0.0,2024,0.0,-1.5,0,QB,278.0,0,2.5,0,0.5,0,31.0,1,18.0,1,4.0,0,4.0,0,2.5,0,4.5,0,3.5,0,0.0,0,5.0,0,2.0,0,1.0,0,3.0,0,4.5,0,4.0,0
0.0,0.0,1,0.0,0.0,Brandon Aiyuk,0,11.6,NYJ,21.3,0.0,0,2024-09-09T20:15:00,2024_week_1,HOME,SF,0.0,0.0,21.3,0.0,42.7,0.0,0,0.0,21747,1,4.6,1,0.0,OFF,0.0,2024,0.0,0,0,WR,2.0,0,1.5,0,2.5,0,1.5,0,4.0,0,4.5,0,4.0,0,3.5,0,2.5,0,46.5,0,3.0,0,5.0,0,11.5,1,22.5,0,0.5,0,0.5,0,0.5,0
86.9,0.0,1,0.0,0.0,Justin Fields,0,0.0,ATL,0,0.0,140.1,2024-09-08T13:00:00,2024_week_1,AWAY,PIT,35.1,25.9,0.0,0.0,0.0,2.3,112.6,237.7,22492,1,0.0,1,21.3,OFF,0.0,2024,18.3,9.5,0,QB,221.5,1,1.0,0,0.5,0,38.0,0,23.5,1,89.0,0,1.5,0,22.0,0,20.0,0,1.0,0,4.0,0,4.5,0,1.5,0,0.5,0,2.5,0,0.5,0,2.5,0
185.9,0.0,1,2.3,0.0,Lamar Jackson,0,0.0,KC,0,0.0,138.4,2024-09-05T20:40:00,2024_week_1,AWAY,BAL,62.5,39.6,0.0,2.3,0.0,2.3,96.6,416.1,19781,1,0.0,1,24.4,OFF,0.0,2024,24.4,11.6,0,QB,445.5,0,2.0,1,3.0,0,61.5,1,41.0,0,184.0,1,0.0,0,25.0,0,24.5,0,3.0,0,0.5,0,1.0,0,2.0,0,1.5,0,2.0,1,2.5,0,0.5,0
16.8,0.0,1,0.0,0.0,Brock Purdy,0,0.0,NYJ,0,0.0,137,2024-09-09T20:15:00,2024_week_1,HOME,SF,44.2,29.0,0.0,0.0,0.0,0.0,99.8,352.0,23241,1,0.0,1,2.3,OFF,0.0,2024,16.8,16.8,0,QB,318.5,1,3.0,0,4.0,0,43.5,1,31.0,0,17.0,0,3.0,0,2.5,0,15.5,1,2.5,0,0.0,0,5.0,0,1.0,0,3.5,0,0.5,0,4.5,0,2.5,0
103.6,0.0,1,0.0,0.0,Bijan Robinson,0,11.6,PIT,13.1,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,ATL,0.0,0.0,21.3,0.0,65.5,0.0,0,0.0,23189,1,11.6,1,27.4,OFF,0.0,2024,19.8,8.8,0,RB,0.5,0,4.0,0,1.0,0,2.5,0,4.5,0,106.0,0,2.0,0,28.0,0,20.5,0,68.0,0,1.5,0,12.0,0,11.5,1,20.5,1,0.5,0,1.5,0,2.0,0
13.9,0.0,1,0.0,4.6,Stefon Diggs,0,13.9,IND,12.8,0.0,0,2024-09-08T13:00:00,2024_week_1,AWAY,HOU,0.0,0.0,15.2,0.0,50.3,0.0,0,0.0,16906,1,13.9,1,2.3,OFF,0.0,2024,13.9,13.9,0,WR,3.5,0,3.5,0,0.5,0,1.5,0,0.0,0,14.5,0,3.5,0,2.5,0,14.5,0,50.0,1,4.0,1,12.5,1,13.0,1,14.0,1,4.0,0,3.5,0,0.5,0
182.9,0.0,1,0.0,0.0,Rhamondre Stevenson,0,7.0,CIN,4.6,2.3,0,2024-09-08T13:00:00,2024_week_1,AWAY,NE,0.0,0.0,13.9,0.0,13.9,2.3,0,0.0,22546,1,7.0,1,38.1,OFF,0.0,2024,25.9,11.1,0,RB,0.5,0,2.5,0,1.5,0,3.5,0,3.0,0,186.0,0,2.5,0,40.0,0,25.0,1,15.0,0,2.0,0,7.5,0,7.5,0,13.0,1,2.0,1,1.5,0,3.0,0
82.3,0.0,1,2.3,0.0,Breece Hall,0,13.9,SF,11.9,2.3,0,2024-09-09T20:15:00,2024_week_1,AWAY,NYJ,0.0,0.0,19.8,0.0,59.4,2.3,0,0.0,22526,1,11.6,1,24.4,OFF,0.0,2024,24.4,7.9,0,RB,3.0,0,3.0,0,4.5,0,0.5,0,4.0,0,88.0,0,2.0,1,26.0,0,24.0,1,54.5,1,4.0,0,11.0,1,14.5,0,21.5,0,2.5,0,2.5,0,4.0,0
0.0,0.0,1,0.0,0.0,Christian Kirk,0,9.3,MIA,45.7,0.0,0,2024-09-08T13:00:00,2024_week_1,AWAY,JAX,0.0,0.0,45.7,0.0,45.7,0.0,0,0.0,19815,1,2.3,1,0.0,OFF,0.0,2024,0.0,0,0,WR,2.0,0,4.5,0,1.5,0,0.5,0,3.0,0,1.5,0,1.0,0,3.5,0,1.0,0,50.0,0,3.5,0,2.0,1,8.5,1,44.0,1,5.0,0,3.0,0,3.0,0
59.4,0.0,1,2.3,0.0,Josh Allen,0,0.0,ARI,0,4.6,209.8,2024-09-08T13:00:00,2024_week_1,HOME,BUF,35.1,27.4,0.0,4.6,0.0,2.3,119.3,353.6,19801,1,0.0,1,13.7,OFF,0.0,2024,13.7,10,0,QB,371.0,0,5.0,0,4.0,0,37.0,0,25.0,1,54.5,1,4.5,1,14.0,0,14.5,0,2.5,0,4.5,0,2.0,0,3.0,0,0.5,0,2.0,1,2.5,0,1.5,0
16.8,0.0,1,0.0,0.0,Tua Tagovailoa,0,0.0,JAX,0,0.0,153.9,2024-09-08T13:00:00,2024_week_1,HOME,MIA,56.4,35.1,0.0,2.3,0.0,0.0,94.8,515.1,21677,1,0.0,1,2.3,OFF,0.0,2024,16.8,16.8,0,QB,484.5,1,2.5,0,1.5,0,62.0,0,36.5,0,16.5,1,1.0,0,2.5,0,17.0,0,2.0,0,0.5,0,1.0,0,1.0,0,2.0,0,2.5,0,4.0,0,2.5,0
0.0,0.0,1,0.0,0.0,Michael Pittman Jr.,0,12.2,HOU,11.9,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,IND,0.0,0.0,19.8,0.0,47.2,0.0,0,0.0,21744,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,WR,1.0,0,3.5,0,3.0,0,3.5,0,1.5,0,1.5,0,3.0,0,3.5,0,1.5,0,43.5,1,2.0,0,9.5,0,12.5,0,21.5,0,5.0,0,0.5,0,4.0,0
19.8,0.0,1,0.0,0.0,C.J. Stroud,0,0.0,IND,0,0.0,176.6,2024-09-08T13:00:00,2024_week_1,AWAY,HOU,48.8,36.6,0.0,4.6,0.0,0.0,114.3,356.6,23239,1,0.0,1,9.3,OFF,0.0,2024,19.8,7.4,0,QB,349.5,1,4.5,1,0.0,0,47.5,1,38.0,0,19.0,1,2.5,0,9.5,0,18.0,1,2.5,0,4.5,0,2.0,0,3.0,0,3.0,0,5.0,0,1.5,0,4.0,0
0.0,0.0,1,0.0,0.0,DK Metcalf,0,9.3,DEN,14.8,0.0,0,2024-09-08T16:05:00,2024_week_1,HOME,SEA,0.0,0.0,18.3,0.0,44.2,0.0,0,0.0,20875,1,7.0,1,0.0,OFF,0.0,2024,0.0,0,0,WR,3.0,0,4.5,0,2.0,0,2.5,0,0.5,0,4.5,0,5.0,0,1.5,0,4.0,0,48.0,0,5.0,0,7.0,0,10.0,0,18.0,1,0.5,0,1.0,0,2.0,0
0.0,0.0,1,0.0,0.0,Travis Kelce,0,9.3,BAL,17.2,0.0,0,2024-09-05T20:40:00,2024_week_1,HOME,KC,0.0,0.0,35.1,0.0,51.8,0.0,0,0.0,15048,1,7.0,1,0.0,OFF,0.0,2024,0.0,0,0,TE,3.5,0,1.5,0,3.0,0,4.0,0,1.5,0,1.5,0,2.5,0,2.5,0,4.0,0,51.0,1,3.0,0,7.5,0,10.0,0,36.5,0,0.5,0,2.0,0,4.5,0
0.0,0.0,1,0.0,0.0,Dalton Kincaid,0,4.6,ARI,16.8,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,BUF,0.0,0.0,16.8,0.0,16.8,0.0,0,0.0,24102,1,2.3,1,0.0,OFF,0.0,2024,0.0,0,0,TE,2.0,0,3.0,0,2.5,0,5.0,0,1.0,0,2.5,0,0.0,0,3.5,0,3.5,0,16.5,1,2.0,0,2.0,1,5.0,0,18.0,0,0.0,0,4.0,0,0.5,0
0.0,0.0,1,0.0,4.6,Mike Evans,0,13.9,WAS,18.6,0.0,0,2024-09-08T16:25:00,2024_week_1,HOME,TB,0.0,0.0,36.6,0.0,93.0,0.0,0,0.0,16597,1,11.6,1,0.0,OFF,0.0,2024,0.0,0,0,WR,0.5,0,4.0,0,2.5,0,1.0,0,1.0,0,4.5,0,5.0,0,4.5,0,4.0,0,99.5,0,5.0,0,11.5,1,15.0,0,35.0,1,2.5,0,1.0,0,1.5,0
59.4,0.0,1,0.0,0.0,Deshaun Watson,0,0.0,DAL,0,0.0,77.8,2024-09-08T16:25:00,2024_week_1,HOME,CLE,68.6,36.6,0.0,2.3,0.0,2.3,81.2,257.6,18857,1,0.0,1,11.6,OFF,0.0,2024,24.4,11.9,0,QB,236.5,1,2.5,0,0.0,0,74.5,0,37.0,0,55.5,1,4.5,0,12.0,0,24.5,0,2.0,0,4.0,0,0.5,0,0.0,0,3.5,0,2.0,1,4.5,0,3.0,0
12.2,0.0,1,0.0,0.0,Trevor Lawrence,0,0.0,MIA,0,0.0,148.9,2024-09-08T13:00:00,2024_week_1,AWAY,JAX,32.0,18.3,0.0,2.3,0.0,0.0,87,246.9,22490,1,0.0,1,2.3,OFF,0.0,2024,12.2,12.2,0,QB,227.0,1,2.0,1,1.5,0,31.0,1,18.0,1,11.0,1,1.5,0,2.0,1,11.5,1,4.0,0,1.0,0,0.5,0,2.5,0,1.0,0,0.5,0,4.5,0,5.0,0
7.0,0.0,1,0.0,0.0,Jaylen Waddle,0,11.6,JAX,33.2,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,MIA,0.0,0.0,96.0,0.0,166.1,0.0,0,0.0,22598,1,11.6,1,2.3,OFF,0.0,2024,7.0,7,0,WR,3.0,0,0.5,0,2.5,0,4.0,0,2.0,0,6.5,1,2.5,0,2.5,0,7.0,0,182.0,0,0.5,0,10.5,1,11.5,1,91.5,1,0.5,0,4.5,0,3.0,0
0.0,0.0,1,0.0,0.0,Amon-Ra St. Brown,0,13.9,LAR,10,0.0,0,2024-09-08T20:20:00,2024_week_1,HOME,DET,0.0,0.0,11.6,0.0,19.8,0.0,0,0.0,22587,1,7.0,1,0.0,OFF,0.0,2024,0.0,0,0,WR,1.0,0,4.5,0,0.5,0,2.0,0,4.0,0,4.0,0,4.0,0,5.0,0,1.5,0,18.5,1,2.5,0,7.5,0,15.0,0,12.5,0,1.5,0,4.0,0,3.5,0
